a1,a2,b1,b2,b3,b4
0.55211693,0.5214857,0.47368005,-0.6333386,0.84321207,0.72020525
0.5578285,0.57642674,0.79328465,0.029190913,0.75140876,1.2936496
0.50499207,0.50842166,1.2343743,0.4787096,0.79955554,1.0101889
0.57346725,0.5733822,0.5556694,0.16646822,0.46878457,0.8722353
0.68665457,0.6664797,0.9889952,0.6770388,1.1384919,1.1615794
0.6436913,0.6688625,0.616605,0.10411409,0.6826145,1.2398188
0.7853584,0.75590277,0.59758747,0.39261168,1.0927105,1.255311
0.65955925,0.6673904,0.77991176,0.38975033,0.89023304,1.2549636
0.2417166,0.28887382,-0.09371604,-0.64258486,-0.21486472,0.06523833
0.28494364,0.35048896,0.04241821,-0.56325585,-0.32749102,0.2669626
0.31177726,0.38128322,0.15546821,-0.38460267,-0.20160179,0.3910965
0.34344998,0.3818772,0.15643322,-0.3541727,-0.0131114805,0.35918662
0.3259749,0.3838732,0.31235594,-0.3035486,0.00057308195,0.5430153
0.34321985,0.41754365,0.23810335,-0.37984756,-0.069248274,0.44509962
0.3376003,0.3875379,0.3187964,-0.24421555,0.11911465,0.5674863
0.42960414,0.5040973,0.55639297,-0.07965286,0.19489136,0.75636005
0.35323322,0.42594832,0.5274238,-0.032779306,0.38711575,0.5715004
0.36619303,0.43449765,0.3512143,-0.19601832,0.05964024,0.4510097
0.29703122,0.35691744,0.22128631,-0.27663302,-0.08530237,0.29765064
0.27574444,0.35495648,0.34732533,-0.28749925,0.023691652,0.18257502
0.23155378,0.30647784,0.4521314,-0.2755908,-0.18410178,0.019844076
0.3154128,0.39616984,0.37240833,-0.52612567,-0.17327261,0.031056358
0.35226092,0.38935798,0.5342738,-0.09259745,0.086612694,0.35935462
0.43423626,0.50661314,0.339184,-0.23376755,-0.0009680991,0.5625661
0.3734195,0.3710153,-0.29165035,-0.67294806,-0.17572126,0.18674299
0.33705524,0.3469588,-0.21065482,-0.9707641,-0.32628196,0.10769297
0.29297492,0.29407263,-0.047790796,-0.46672344,-0.15950805,0.22852908
0.45392317,0.4676327,-0.10234491,-0.45957032,0.02083702,0.5043432
0.31155488,0.30156454,-0.14151825,-0.58543736,-0.41759053,0.020830689
0.41384652,0.40495482,0.10273323,-0.40070757,-0.0847434,0.38016015
0.4163656,0.4192831,-0.04329107,-0.54084516,-0.14673382,0.30106452
0.4415264,0.42198083,-0.010630689,-0.33430326,0.23699838,0.5219019
0.56167865,0.5086865,0.41751465,0.14745083,0.89336026,1.0148243
0.5549484,0.50083715,0.14443824,-0.016478162,0.8009085,1.1141266
0.7136278,0.65942633,-0.14754726,-0.2812175,0.31053153,1.0274141
0.46243283,0.44690585,0.320735,0.098536916,0.5513805,0.7221812
0.59921104,0.553007,-0.045505118,-0.4809207,0.099965,0.6340015
0.6089657,0.55689174,0.04908943,-0.15424946,0.48845032,0.773557
0.4969424,0.44684485,0.3117439,-0.073049076,0.46297666,0.8756338
0.7433586,0.73278767,0.09656988,-0.21751127,0.46662384,0.89962846
0.63530225,0.54838866,0.42143616,-0.0018935616,0.8077366,0.9846196
0.74058443,0.67603505,0.13436031,-0.009264247,0.8455776,1.204549
0.7612666,0.68778974,0.24326003,0.08616559,0.72969866,0.99494773
0.7268955,0.6442546,0.08460741,-0.10877533,0.7563312,1.1034482
0.55450964,0.52525675,0.41552308,-0.086793594,0.35169983,0.8146071
0.65775144,0.6244045,0.20922887,-0.4782206,0.7240405,0.8968438
0.7363356,0.6446508,0.40782535,0.24403636,0.881149,1.0736057
0.8655474,0.7800726,0.29952037,0.13489687,1.0603442,1.1329426
